authors,title,System,year,publisher,type,abstract
"JH Wanink, J Kashindye, EFB Katunzi, O Mkumbo…",AND THEIR RELEVANCE FOR FISHERY MANAGEMENT,,1988,researchgate.net,PDF,The research for this publication was financed by the Netherlands Foundation for the Advancement of Tropical Research(WOTRO) and by the Netherlands Minister for …
"JH Wanink, T Goldschmidt, PC Goudswaard…","Life-history Adaptations and Population Viability in Cichlid and Cyprinid Zooplanktivores from Lake Victoria: Impact of Fishermen, Predators, Parasites and …",Freshwater,2003,NA,CITATION,NA
"KPC Goudswaard, EFB Katunzi, JH Wanink…","Distribution of Nile perch (Lates niloticus) in southern Lake Victoria, in relation to environmental factors.",Freshwater,2006,scholarlypublications …,PDF,Nile perch (Lates niloticus) in Lake Victoria was introduced from Lake Albert and Lake Turkana where it prefers shallow waters. In Lake Victoria it is also found in deep water. As a …
EFB Katunzi,The current status of the fisheries in Tanzania waters of Lake Victoria,Freshwater,1985,agris.fao.org,CITATION,The current status of the fisheries in Tanzania waters of Lake Victoria FAO_logo home-icon English Español Français العربية 中文 Русский home-icon Translate with Google Access the …
EFB Katunzi…,"Satellite lakes, rivers and dams as relics of Lake Victoria",Freshwater,2000,NA,CITATION,NA
"P Taylor, EFB Katunzi, A Mbonde, R Waya…",Aquatic Ecosystem Health & Management Minor water bodies around southern Lake Victoria—a replica of lost biodiversity,Freshwater,2010,NA,CITATION,NA
EFB Katunzi,"Survey of satellite lakes, rivers, and dams",Freshwater,1998,NA,CITATION,NA
EFB Katunzi,Socio-economic aspects of Lake Victoria fisheries research and development activities.,Freshwater,1990,agris.fao.org,CITATION,Socio-economic aspects of Lake Victoria fisheries research and development activities. FAO_logo home-icon English Español Français العربية 中文 Русский home-icon Translate with …
EFB Katunzi,"Biological and fishery aspects of Rastrineobola argentea in the southern part of Lake Victoria, p 51-6",Freshwater,1992,NA,CITATION,NA
EFB Katunzi,The current status of the fisheries in Tanzania waters of Lake Victoria. Annex 1.8.,Freshwater,1985,agris.fao.org,CITATION,The current status of the fisheries in Tanzania waters of Lake Victoria. Annex 1.8. FAO_logo home-icon English Español Français العربية 中文 Русский home-icon Translate with Google …
"EFB Katunzi, BS Msuku, F Witte, T Goldschmidt…",Recovery of cichlid species in Lake Victoria: an examination of factors leading to differential extinction,Freshwater,2000,NA,CITATION,NA
"EFB Katunzi, J Zoutendijk, T Goldschmidt, JH Wanink…",Lost zooplanktivorous cichlid from Lake Victoria reappears with a new trade. vol. 12,Freshwater,2003,NA,CITATION,NA
"KPC Goudswaard, F Witte, EFB Katunzi",The tilapiine fish stock of Lake Victoria before and after the perch upsuge,Freshwater,2006,Institute of biology; University of …,CITATION,NA
"I Barber, DM Bartley, ML Bartron…","Avise, JC, 253",,2001,search.proquest.com,CITATION,"Author Index to Volume 10 Page 1 Reviews in Fish Biology and Fisheries 10: 532, 2001. 532 Author index to Volume 10 Avise, JC, 253 Barber, I., 131 Bartley, DM, 325 Bartron, ML, 293 …"
"WLT van Densen, EFB Katunzi, JH Wanink…",The shift to smaller zooplankton in Lake Victoria cannot be attributed to the 'sardine'Rastrineobola argentea (Cyprinidae),Freshwater,2002,NA,CITATION,NA
EFB Katunzi,1. HUMAN-INDUCED AND ENVIRONMENTAL THREATS ON LAKE VICTORIA,Freshwater,NA,NA,CITATION,NA
"IA Kimirei, I Nagelkerken, B Griffioen, C Wagner…",Ontogenetic habitat use by mangrove/seagrass-associated coral reef fishes shows flexibility in time and space,Marine,2011,Elsevier,NA,"Tropical shallow-water habitats such as mangroves and seagrass beds are widely acknowledged as important juvenile habitats for various coral reef fish species, most of …"
"IA Kimirei, I Nagelkerken, YD Mgaya, CM Huijbers",The mangrove nursery paradigm revisited: otolith stable isotopes support nursery-to-reef movements by Indo-Pacific fishes,Marine,2013,journals.plos.org,HTML,Mangroves and seagrass beds have long been perceived as important nurseries for many fish species. While there is growing evidence from the Western Atlantic that mangrove …
"J Junker, JA Rick, PB McIntyre, I Kimirei…",Structural genomic variation leads to genetic differentiation in Lake Tanganyika's sardines,Freshwater,2020,Wiley Online Library,NA,Identifying patterns in genetic structure and the genetic basis of ecological adaptation is a core goal of evolutionary biology and can inform the management and conservation of …
"P Mziray, IA Kimirei","Bioaccumulation of heavy metals in marine fishes (Siganus sutor, Lethrinus harak, and Rastrelliger kanagurta) from Dar es Salaam Tanzania",Marine,2016,Elsevier,NA,Toxic metals that bioaccumulate and magnify along food chains are a concern to human health worldwide. This study determined heavy metal concentrations in three commercial …
"M Semba, R Lumpkin, I Kimirei, Y Shaghude…","Seasonal and spatial variation of surface current in the Pemba Channel, Tanzania",Marine,2019,journals.plos.org,HTML,The surface current speeds within the Pemba channel were examined using 24 years of drifter data received from the Global Drifter Program. This study aimed to uncover varying …
"JS Lucas, MM McGlue, IA Kimirei, MJ Soreghan…",Geophysical benthic habitat mapping in Lake Tanganyika (Tanzania): Implications for spatial planning of small-scale coastal protected areas,Freshwater,2020,Elsevier,NA,Optimizing community-based fisheries management to enhance both food resource and biodiversity conservation in large lakes requires detailed knowledge of benthic habitats …
"IA Kimirei, I Nagelkerken, N Slooter…",Demography of fish populations reveals new challenges in appraising juvenile habitat values,,2015,int-res.com,NA,"Understanding the 'value'of nursery habitats is increasingly perceived as essential to conservation management of marine ecosystems globally. Yet, most work on this topic has …"
"JP Descy, AL Tarbe, S Stenuite, S Pirlot…",Drivers of phytoplankton diversity in Lake Tanganyika,Freshwater,2010,Springer,NA,"In keeping with the theme of this volume, the present article commemorates the 50 years of Hutchinson's (Am Nat 93: 145–159, 1959) famous publication on the 'very general question …"
"J Busch, M Soreghan, K de Beurs, M McGlue…","Linking watershed disturbance with nearshore sedimentation and the shell beds of Lake Tanganyika (Mahale Mountains, Tanzania)",Freshwater,2018,Springer,NA,"Extensive deposits of shell-rich sediments in the nearshore environment of Lake Tanganyika, Africa, form a unique habitat for a diverse group of endemic gastropods …"
"S Loiselle, A Cozar, E Adgo, T Ballatore, G Chavula…",Decadal trends and common dynamics of the bio-optical and thermal characteristics of the African Great Lakes,Freshwater,2014,journals.plos.org,HTML,"The Great Lakes of East Africa are among the world's most important freshwater ecosystems. Despite their importance in providing vital resources and ecosystem services, the impact of …"
"BR Lugendo, IA Kimirei",Anthropogenic nitrogen pollution in mangrove ecosystems along Dar es Salaam and Bagamoyo coasts in Tanzania,Marine,2021,Elsevier,NA,"Mangroves are among the most productive coastal ecosystems; however, they are prone to anthropogenic pollution due to their land-sea interface position. We used stable nitrogen …"
"MM McGlue, KM Yeager, MJ Soreghan, M Behm…",Spatial variability in nearshore sediment pollution in Lake Tanganyika (East Africa) and implications for fisheries conservation,Freshwater,2021,Elsevier,NA,"Climate warming coupled with local disturbances within lakes is an accelerating global problem. This issue is acute at Lake Tanganyika (eastern Africa), where warming and …"
"B Ehrenfels, M Bartosiewicz, AS Mbonde…",Thermocline depth and euphotic zone thickness regulate the abundance of diazotrophic cyanobacteria in Lake Tanganyika,Freshwater,2020,bg.copernicus.org,NA,"In spite of the fact that cyanobacterial blooms are classically associated with high nutrient loadings, there is also abundant evidence revealing that nitrogen fixing cyanobacteria …"
"J Zhang, S Shuang Chen, Q Gao, Q Shen, IA Kimirei…","Morphological Characteristics of Informal Settlements and Strategic Suggestions for Urban Sustainable Development in Tanzania: Dar es Salaam, Mwanza, and …",,2020,mdpi.com,NA,"Rapid urbanization in developing countries has been accompanied by the spread of informal settlements, which is particularly prominent in sub-Saharan Africa. These …"
"M Semba, I Kimirei, M Kyewalyanga, N Peter…","The decline in phytoplankton biomass and prawn catches in the Rufiji-Mafia Channel, Tanzania",Marine,2016,ajol.info,NA,The world's oceans have seen significant declines in phytoplankton-the primary food source in the marine environment. This decline in primary producers is likely to impact the food …
"PQ Tran, SC Bachand, PB McIntyre, BM Kraemer…",Depth-discrete metagenomics reveals the roles of microbes in biogeochemical cycling in the tropical freshwater Lake Tanganyika,Freshwater,2021,nature.com,HTML,"Lake Tanganyika (LT) is the largest tropical freshwater lake, and the largest body of anoxic freshwater on Earth's surface. LT's mixed oxygenated surface waters float atop a …"
"A Maasri, S Jähnig, M Adamescu, R Adrian…",A Global Agenda for Advancing Freshwater Biodiversity Research,Freshwater,2021,authorea.com,NA,"Freshwater biodiversity is declining dramatically, and the current biodiversity crisis requires defining bold goals and mobilizing substantial resources to meet the challenges. While the …"
"L Vezzulli, C Oliveri, A Borello, L Gregory…",Aquatic reservoir of Vibrio cholerae in an African Great Lake assessed by large scale plankton sampling and ultrasensitive molecular methods,Freshwater,2021,nature.com,HTML,The significance of large tropical lakes as environmental reservoirs of Vibrio cholerae in cholera endemic countries has yet to be established. By combining large scale plankton …
"EK Ryan, MJ Soreghan, MM McGlue, JA Todd…","Paleoenvironmental implications of time-averaging and taphonomic variation of shell beds in Lake Tanganyika, Africa",Freshwater,2020,pubs.geoscienceworld.org,NA,"The lake bottom along structural platforms in Lake Tanganyika, Africa, is carpeted with numerous large shell beds, known to be of late Holocene age, but of uncertain assemblage …"
"PQ Tran, PB McIntyre, BM Kraemer, Y Vadeboncoeur…","Depth-discrete eco-genomics of Lake Tanganyika reveals roles of diverse microbes, including candidate phyla, in tropical freshwater nutrient cycling",Freshwater,2019,biorxiv.org,HTML,"Lake Tanganyika, the largest tropical freshwater lake and the second largest by volume on Earth is characterized by strong oxygen and redox gradients. In spite of the majority of its …"
"TM Kamulali, MM McGlue, JR Stone, IA Kimirei…",Paleoecological analysis of Holocene sediment cores from the southern basin of Lake Tanganyika: implications for the future of the fishery in one of Africa's largest …,Freshwater,2021,Springer,NA,"Extensive research has been conducted at Lake Tanganyika to understand its vulnerability to a warming climate and fishing pressure. However, much of this work has been restricted …"
"AP Shoko, IA Kimirei, BC Sekadende…",Online course in conjunction with face-to-face workshops to improve writing skills leading towards more publications in peer reviewed journals,,2021,ese.arphahub.com,PDF,Background: Researchers in the developing countries often have inadequate scientific writing skills to publish their research in international peer reviewed journals. Objectives: To …
"M Ndebele-Murisa, IA Kimirei, CP Mubaya, T Bere",Ecological Changes in the Zambezi River Basin,Freshwater,2021,researchgate.net,BOOK,"The Council for the Development of Social Science Research in Africa (CODESRIA) is an independent organisation whose principal objectives are to facilitate research, promote …"
